Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,47uF,
"C2, C3",0805,2,22uF,
C4,PCAP_8x10-ELECT_NCA,1,UWT1E331MNL1GS,
C5,C_Elec_6.3x7.7,1,100uF,
D1,0805,1,LED,
D4,DIOAD1990W125L900D530,1,1N5822,
"J1, J2",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
J3,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
J4,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,Screw_Terminal_01x04,
L2,IND_BOURNS_SRR7045,1,SRR7045-331M,
R1,0805,1,2k,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,SOT-223-3_TabPin2,1,AMS1117-5.0,
U3,TO-220-5_P3.4x3.7mm_StaggerEven_Lead3.8mm_Vertical,1,LM2576-5.0WT,
